Jaar;KGJ_BIOMASSA;KGJ_PELLETS;KGJ_KOLEN_EXCL;KGJ_KOLEN_CO2;EURKG_H2_B;EURKG_H2_G;R_groen;R_blauw
2010;90;90;90;90;90;90;1;0
2011;90;90;90;90;90;90;1;0
2012;90;90;90;90;90;90;1;0
2013;90;90;90;90;90;90;1;0
2014;90;90;90;90;90;90;1;0
2015;90;90;90;90;90;90;1;0
2016;90;90;90;90;90;90;1;0
2017;90;90;90;90;90;90;1;0
2018;90;90;90;90;90;90;1;0
2019;90;90;90;90;90;90;1;0
2020;90;90;90;90;90;90;1;0
2021;90;90;90;90;90;90;1;0
2022;90;90;90;90;90;90;1;0
2023;90;90;90;90;90;90;1;0
2024;90;90;90;90;90;90;1;0
2025;90;90;90;90;90;90;1;0
2026;90;90;90;90;90;90;1;0
2027;90;90;90;90;90;90;1;0
2028;90;90;90;90;90;90;1;0
2029;90;90;90;90;90;90;1;0
2030;90;90;90;90;90;90;1;0
2031;90;90;90;90;90;90;1;0
2032;90;90;90;90;90;90;1;0
2033;90;90;90;90;90;90;1;0
2034;90;90;90;90;90;90;1;0
2035;90;90;90;90;90;90;1;0
2036;90;90;90;90;90;90;1;0
2037;90;90;90;90;90;90;1;0
2038;90;90;90;90;90;90;1;0
2039;90;90;90;90;90;90;1;0
2040;90;90;90;90;90;90;1;0
2041;90;90;90;90;90;90;1;0
2042;90;90;90;90;90;90;1;0
2043;90;90;90;90;90;90;1;0
2044;90;90;90;90;90;90;1;0
2045;90;90;90;90;90;90;1;0
2046;90;90;90;90;90;90;1;0
2047;90;90;90;90;90;90;1;0
2048;90;90;90;90;90;90;1;0
2049;90;90;90;90;90;90;1;0
2050;90;90;90;90;90;90;1;0
