Jaar;KGJ_BIOMASSA;KGJ_PELLETS;KGJ_KOLEN_EXCL;KGJ_KOLEN_CO2;EURKG_H2_B;EURKG_H2_G;R_groen;R_blauw
2010;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2011;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2012;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2013;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2014;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2015;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2016;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2017;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2018;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2019;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2020;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2021;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2022;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2023;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2024;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2025;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2026;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2027;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2028;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2029;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2030;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2031;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2032;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2033;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2034;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2035;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2036;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2037;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2038;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2039;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2040;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2041;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2042;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2043;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2044;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2045;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2046;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2047;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2048;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2049;0.01;0.01;0.01;0.01;0.01;0.01;1;0
2050;0.01;0.01;0.01;0.01;0.01;0.01;1;0
