Jaar;KGJ_BIOMASSA;KGJ_PELLETS;KGJ_KOLEN_EXCL;KGJ_KOLEN_CO2;EURKG_H2_B;EURKG_H2_G;R_groen;R_blauw
2010;11.54623214;11.54623214;4.473409312;2.584300649;4.367619227;6.936807007;1;0
2011;11.89382814;11.89382814;4.473409312;2.297156133;4.548973658;7.118161439;1;0
2012;12.24142413;12.24142413;4.473409312;1.254368152;4.624538004;7.193725785;1;0
2013;12.58902012;12.58902012;4.473409312;0.755643465;4.654763744;7.223951523;1;0
2014;12.95172899;12.95172899;4.428070704;0.997449373;4.443183573;7.012371353;1;0
2015;13.34466359;13.34466359;4.382732096;1.314819629;4.382732096;6.951919877;1;0
2016;14.7199347;14.7199347;4.322280619;0.921885027;4.080474709;6.64966249;1;0
2017;14.00962984;14.00962984;4.276942011;0.936997897;4.171151925;6.740339706;1;0
2018;15.1128693;15.1128693;4.231603403;2.478510565;4.352506357;6.921694138;1;0
2019;14.7652733;14.7652733;4.186264795;3.43062133;4.216490533;6.785678314;1;0
2020;14.568806;14.568806;4.125813317;3.415508461;4.261829141;6.831016922;1;0
2021;14.35722584;14.35722584;4.080474709;3.415508461;4.201377665;6.770565445;1;0
2022;14.14564566;14.14564566;4.035136103;3.868894539;4.261829141;6.831016922;1;0
2023;13.93406549;13.93406549;3.974684625;4.322280619;4.337393488;6.906581269;1;0
2024;13.73759819;13.73759819;3.929346017;4.760553828;4.397844965;6.967032745;1;0
2025;13.52601802;13.52601802;3.884007409;5.213939907;4.473409312;7.042597092;1;0
2026;13.32955072;13.32955072;3.838668801;5.667325987;4.473409312;7.042597092;1;0
2027;13.13308342;13.13308342;3.778217324;6.120712065;4.488522181;7.057709961;1;0
2028;12.93661612;12.93661612;3.732878716;6.574098144;5.455745816;2.100688832;1;0
2029;12.74014882;12.74014882;3.687540108;7.027484223;5.455745816;2.100688832;1;0
2030;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2031;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2032;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2033;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2034;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2035;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2036;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2037;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2038;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2039;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2040;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2041;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2042;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2043;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2044;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2045;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2046;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2047;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2048;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2049;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
2050;12.55879438;12.55879438;3.6422015;7.480870301;5.455745816;2.100688832;1;0
