Naam;Waarde;Eenheid;Bron;Beschrijving
Kj_hv_w;201.5780913;Eur_yr_asl;niet opgegeven in code;
aandeelEWVopp_min;0.1;ratio;niet opgegeven in code;
aandeelEWVopp_max;0.75;ratio;niet opgegeven in code;
Ki_EWV_m2_min;271.7348262;Eur_m2;niet opgegeven in code;
Ki_EWV_m2_max;498.1804727;Eur_m2;niet opgegeven in code;
SPF_EWV_min;1;ratio;niet opgegeven in code;
SPF_EWV_max;1;ratio;niet opgegeven in code;
Ki_ZonPV_min;375.0486374;Eur_m2;niet opgegeven in code;
Ki_ZonPV_max;842.0924763;Eur_m2;niet opgegeven in code;
Ki_ZonB_min;1344.525869;Eur_m2;In euro2018 Rapport Vesta 2.0 Uitbreidingen en dataverificaties Delft juni 2013 CE-Delft pagina 19 onder;
Ki_ZonB_max;1486.046287;Eur_m2;In euro2018 Rapport Vesta 2.0 Uitbreidingen en dataverificaties Delft juni 2013 CE-Delft pagina 19 onder;
Ki_w_mWKK_Min;7784.076579;Eur_asl;niet opgegeven in code;
Ki_w_mWKK_Max;12454.51497;Eur_asl;niet opgegeven in code;
Ki_u_mWKK_Min;169832.5278;Eur_asl;niet opgegeven in code;
Ki_u_mWKK_Max;169832.5278;Eur_asl;niet opgegeven in code;
Ki_LTAS_wl_min;1288;Eur_asl;Arcadis 2023 (Actualisatie bouw- en investeringskosten verduurzamingsmaatregelen bestaande woningbouw 2023);
Ki_LTAS_wh_min;1117;Eur_asl;Arcadis 2023 (Actualisatie bouw- en investeringskosten verduurzamingsmaatregelen bestaande woningbouw 2023);
Ki_LTAS_wl_max;3199;Eur_asl;Arcadis 2023 (Actualisatie bouw- en investeringskosten verduurzamingsmaatregelen bestaande woningbouw 2023);
Ki_LTAS_wh_max;1855;Eur_asl;Arcadis 2023 (Actualisatie bouw- en investeringskosten verduurzamingsmaatregelen bestaande woningbouw 2023);
Ki_LTAS_u_min;4.2;Eur_m2;Arcadis 2023 (Actualisatie bouw- en investeringskosten verduurzamingsmaatregelen bestaande woningbouw 2023);
Ki_LTAS_u_max;6.3;Eur_m2;Arcadis 2023 (Actualisatie bouw- en investeringskosten verduurzamingsmaatregelen bestaande woningbouw 2023);
Ki_Meterkast_wl_S1;1200;Eur_asl;Validatiesessie 2024;
Ki_Meterkast_wh_S1;850;Eur_asl;Validatiesessie 2024;
Ki_Meterkast_wl_Sx;400;Eur_asl;Validatiesessie 2024;
Ki_Meterkast_wh_Sx;300;Eur_asl;Validatiesessie 2024;
